episode,coordinator_decision_source,decision_source_code,coordinator_fallback_count,target_assignment_count,fallback_rate,last_llm_diagnosis
52,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
53,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
54,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
55,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
56,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
57,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
58,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
59,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
60,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
61,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
62,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
63,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
64,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
65,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
66,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
67,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
68,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
69,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
70,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
71,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
72,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
73,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
74,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
75,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
76,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
77,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
78,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
79,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
80,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
81,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
82,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
83,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
84,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
85,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
86,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
87,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
88,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
89,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
90,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
91,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
92,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
93,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
94,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
95,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
96,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
97,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
98,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
99,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
100,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
101,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
102,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
103,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
104,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
105,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
106,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
107,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
108,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
109,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
110,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
111,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
112,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
113,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
114,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
115,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
116,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
117,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
118,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
119,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
120,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
121,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
122,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
123,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
124,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
125,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
126,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
127,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
128,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
129,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
130,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
131,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
132,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
133,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
134,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
135,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
136,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
137,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
138,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
139,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
140,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
141,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
142,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
143,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
144,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
145,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
146,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
147,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
148,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
149,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
150,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
151,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
152,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
153,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
154,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
155,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
156,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
157,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
158,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
159,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
160,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
161,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
162,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
163,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
164,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
165,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
166,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
167,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
168,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
169,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
170,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
171,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
172,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
173,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
174,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
175,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
176,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
177,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
178,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
179,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
180,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
181,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
182,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
183,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
184,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
185,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
186,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
187,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
188,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
189,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
190,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
191,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
192,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
193,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
194,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
195,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
196,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
197,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
198,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
199,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
200,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
201,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
202,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
203,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
204,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
205,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
206,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
207,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
208,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
209,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
210,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
211,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
212,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
213,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
214,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
215,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
216,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
217,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
218,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
219,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
220,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
221,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
222,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
223,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
224,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
225,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
226,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
227,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
228,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
229,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
230,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
231,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
232,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
233,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
234,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
235,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
236,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
237,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
238,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
239,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
240,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
241,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
242,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
243,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
244,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
245,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
246,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
247,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
248,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
249,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
250,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
251,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
252,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
253,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
254,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
255,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
256,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
257,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
258,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
259,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
260,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
261,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
262,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
263,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
264,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
265,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
266,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
267,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
268,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
269,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
270,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
271,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
272,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
273,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
274,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
275,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
276,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
277,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
278,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
279,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
280,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
281,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
282,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
283,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
284,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
285,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
286,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
287,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
288,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
289,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
290,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
291,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
292,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
293,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
294,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
295,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
296,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
297,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
298,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
299,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
300,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
301,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
302,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
303,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
304,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
305,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
306,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
307,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
308,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
309,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
310,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
311,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
312,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
313,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
314,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
315,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
316,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
317,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
318,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
319,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
320,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
321,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
322,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
323,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
324,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
325,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
326,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
327,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
328,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
329,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
330,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
331,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
332,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
333,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
334,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
335,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
336,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
337,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
338,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
339,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
340,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
341,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
342,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
343,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
344,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
345,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
346,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
347,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
348,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
349,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
350,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
351,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
352,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
353,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
354,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
355,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
356,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
357,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
358,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
359,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
360,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
361,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
362,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
363,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
364,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
365,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
366,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
367,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
368,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
369,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
370,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
371,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
372,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
373,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
374,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
375,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
376,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
377,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
378,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
379,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
380,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
381,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
382,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
383,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
384,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
385,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
386,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
387,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
388,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
389,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
390,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
391,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
392,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
393,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
394,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
395,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
396,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
397,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
398,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
399,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
400,heuristic_fallback,3,50,50,1.0,provider_or_model_configuration_error
