episode,seed,model_name,policy_type,level,total_reward,grid_coverage_percent,events_detected,events_missed,high_priority_miss_rate,on_time_detection_rate,path_efficiency,fallback_rate,coordinator_decision_source,coordinator_fallback_count,target_assignment_count,last_llm_diagnosis
25,66,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,147.0,100.0,5,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
26,67,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-89.0,78.0,5,6,0.6666666666666666,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
27,68,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-73.0,83.0,1,7,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
28,69,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-89.0,78.0,4,7,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
29,70,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,83.5,87.0,6,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
30,71,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-74.5,78.0,6,5,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
31,72,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,244.5,95.0,9,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
32,73,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,80.0,80.0,6,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
33,74,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-159.5,89.0,1,5,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
34,75,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-102.0,78.0,2,4,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
35,76,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,123.0,95.0,7,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
36,77,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,65.0,91.0,5,6,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
37,78,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,6.0,96.0,2,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
38,79,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,48.0,76.0,7,8,0.3333333333333333,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
39,80,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,68.0,96.0,4,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
40,81,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-83.0,69.0,5,7,0.6666666666666666,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
41,82,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,25.0,99.0,4,6,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
42,83,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,66.0,77.0,4,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
43,84,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-3.0,90.0,2,0,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
44,85,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-34.0,72.0,1,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
45,86,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,193.5,91.0,5,1,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
46,87,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,182.5,99.0,7,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
47,88,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,269.5,80.0,8,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
48,89,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-16.0,95.0,6,5,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
49,90,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,114.0,89.0,6,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
50,91,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-51.5,92.0,4,4,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
51,92,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,233.0,80.0,8,1,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
52,93,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-77.0,96.0,5,7,0.5,0.8,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
53,94,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,122.0,75.0,4,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
54,95,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-150.0,98.0,1,5,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
55,96,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,47.5,92.0,7,3,0.25,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
56,97,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-107.0,82.0,3,6,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
57,98,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,154.0,100.0,5,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
58,99,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-47.0,81.0,1,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
59,100,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-192.0,97.0,2,7,0.6666666666666666,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
60,101,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-6.0,83.0,2,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
61,102,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,29.0,81.0,3,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
62,103,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,67.5,74.0,7,6,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
63,104,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,231.0,98.0,6,0,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
64,105,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,7.0,96.0,2,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
65,106,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,233.5,87.0,7,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
66,107,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,205.5,83.0,6,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
67,108,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,181.0,96.0,6,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
68,109,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,75.0,90.0,6,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
69,110,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-119.5,86.0,2,4,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
70,111,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,177.5,71.0,8,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
71,112,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,11.0,66.0,5,7,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
72,113,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,242.5,68.0,7,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
73,114,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,140.5,79.0,10,5,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
74,115,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,85.0,89.0,6,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
75,116,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,58.5,72.0,3,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
76,117,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,43.0,82.0,6,4,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
77,118,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,78.0,99.0,5,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
78,119,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,43.0,89.0,4,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
79,120,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,327.0,86.0,11,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
80,121,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,92.0,81.0,6,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
81,122,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,19.5,94.0,7,3,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
82,123,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,117.5,84.0,5,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
83,124,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-94.0,88.0,4,5,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
84,125,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,59.0,89.0,5,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
85,126,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,83.0,90.0,6,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
86,127,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-133.0,70.0,1,3,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
87,128,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-57.0,88.0,7,9,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
88,129,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-110.5,74.0,5,7,0.5,0.8,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
89,130,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,14.5,79.0,7,8,0.3333333333333333,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
90,131,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,10.5,88.0,4,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
91,132,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-160.5,95.0,2,5,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
92,133,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,25.0,92.0,4,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
93,134,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,17.0,92.0,7,5,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
94,135,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-78.5,71.0,2,3,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
95,136,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,9.5,69.0,6,2,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
96,137,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,66.5,92.0,5,7,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
97,138,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,27.5,85.0,6,6,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
98,139,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-9.5,83.0,4,4,0.3333333333333333,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
99,140,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,294.0,87.0,8,1,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
100,141,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,117.5,99.0,5,6,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
101,142,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,177.0,63.0,5,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
102,143,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,113.0,88.0,5,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
103,144,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,208.5,88.0,7,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
104,145,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-45.5,85.0,4,4,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
105,146,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,360.0,97.0,12,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
106,147,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,281.5,91.0,9,1,0.0,0.8888888888888888,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
107,148,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,140.0,88.0,5,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
108,149,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,238.0,73.0,8,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
109,150,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-115.0,88.0,2,4,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
110,151,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,215.5,87.0,7,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
111,152,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,170.0,72.0,9,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
112,153,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-79.0,96.0,3,5,0.3333333333333333,0.6666666666666666,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
113,154,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,237.5,87.0,6,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
114,155,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,43.5,82.0,3,6,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
115,156,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-8.0,69.0,6,3,0.3333333333333333,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
116,157,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-16.5,80.0,7,6,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
117,158,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,55.5,94.0,5,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
118,159,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,121.5,97.0,6,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
119,160,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-58.5,83.0,4,4,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
120,161,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,107.0,87.0,6,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
121,162,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,104.0,70.0,3,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
122,163,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-24.0,83.0,3,1,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
123,164,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-53.5,76.0,3,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
124,165,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-2.5,79.0,4,7,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
125,166,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,71.0,92.0,5,5,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
126,167,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,140.5,77.0,5,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
127,168,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,172.5,51.0,7,1,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
128,169,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-94.5,84.0,4,3,0.6666666666666666,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
129,170,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,105.0,90.0,6,1,0.0,0.8333333333333334,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
130,171,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-11.0,80.0,1,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
131,172,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,3.0,90.0,3,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
132,173,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-6.0,74.0,1,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
133,174,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-72.5,87.0,4,3,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
134,175,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,101.0,87.0,7,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
135,176,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,101.0,73.0,8,3,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
136,177,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,140.5,76.0,9,6,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
137,178,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,28.0,85.0,3,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
138,179,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-275.5,87.0,5,11,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
139,180,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,447.5,87.0,13,1,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
140,181,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,51.5,92.0,3,6,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
141,182,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,179.5,79.0,6,3,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
142,183,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,72.5,92.0,5,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
143,184,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,62.5,81.0,7,5,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
144,185,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,18.5,75.0,3,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
145,186,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-114.5,85.0,3,4,0.6666666666666666,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
146,187,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,39.5,78.0,4,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
147,188,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,133.5,69.0,4,2,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
148,189,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,88.5,71.0,7,8,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
149,190,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,13.5,73.0,3,6,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
150,191,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,252.5,99.0,7,1,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
151,192,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,206.0,92.0,9,2,0.0,0.8888888888888888,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
152,193,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,0.5,75.0,3,4,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
153,194,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-32.0,99.0,4,3,1.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
154,195,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,74.0,62.0,8,3,0.5,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
155,196,Qwen/Qwen3-1.7B,qwen_llm_coordinator,6,-59.0,88.0,2,7,0.0,1.0,1.0,1.0,heuristic_fallback,50,50,provider_or_model_configuration_error
